name	H3K27ac	H3K27me3	ENSID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DCAF5	0.19544438489260751	0.905975884471041	ENSG00000139990	3055.53129404315	6.3900587948486e-5	0.179913263953436	3.55174413182923e-4	0.999716611825287	0.99988996956198
LINC01004	0.04857778809532801	0.1300009164229155	ENSG00000228393	105.824284927697	-1.03468186244599e-4	0.424263624439736	-2.43877109147018e-4	0.999805414221807	0.99988996956198
MAP3K4	0.3046203916495849	0.1772341939878754	ENSG00000085511	3105.34149273062	-1.08339097437567e-4	0.235894333967954	-4.59269604382632e-4	0.999633555886299	0.99988996956198
MIR24-2	0.07467063092356482	0.09074160885525819	ENSG00000267519	185.636420699104	-1.27944240865933e-4	0.401763656474401	-3.18456482571576e-4	0.999745908493563	0.99988996956198
MAG	0.16783472258290597	-0.5356887999882858	ENSG00000105695	2788.09777072008	-1.41098601295215e-4	0.771880218775083	-1.82798571414523e-4	0.999854147842944	0.99988996956198
GABARAP	-0.1868155133296981	0.20975883705813259	ENSG00000170296	4819.80903550855	-2.20369291963745e-4	0.366932938059927	-6.00571028397986e-4	0.999520813677582	0.99988996956198
QRICH1	-0.0740653803170849	0.2167161650365204	ENSG00000198218	2761.18119970722	2.31375541067087e-4	0.187201542374343	0.00123597027103767	0.999013838654208	0.999731374212113
BRI3BP	-0.03217053940725412	0.15861037891273336	ENSG00000184992	1160.48013245349	-2.83190267540172e-4	0.242413202373932	-0.00116821305426814	0.99906790105228	0.999754643988705
H2AFX	0.07918296395514399	0.30750144384407213	ENSG00000188486	1093.38745878575	-2.99996348635339e-4	0.394621769205324	-7.60212365474569e-4	0.999393438349081	0.999876245523839
ASAP3	0.027504502174447262	-0.11342993581196885	ENSG00000088280	3493.323845603	-3.26976777348427e-4	0.325739926552881	-0.0010037970500228	0.999199085966109	0.999778554892377
SAR1B	-0.10953505625577295	0.06754435223855383	ENSG00000152700	3059.28146724622	3.88923986439842e-4	0.315372940687595	0.00123321926602798	0.999016033636959	0.999731374212113
TRAPPC9	-0.0016376749233827873	0.1962323081396703	ENSG00000167632	2630.03934253704	4.24226505945824e-4	0.280986500369543	0.0015097753998426799	0.998795373975827	0.99972276386025
MRPS15	-0.2263278199190052	0.15060186055646668	ENSG00000116898	606.33886479701	-4.39884361019112e-4	0.254724101726431	-0.00172690514182887	0.998622129734211	0.999622038099573
ZNF345	-0.3174861703190769	0.0936281725051754	ENSG00000251247	383.945299621699	0.00051493231834897095	0.250298320026595	0.00205727436881821	0.998358533701669	0.999560099980016
NCOA1	-0.01826652857400759	0.06676503338845878	ENSG00000084676	7566.63605532594	-5.41655831726998e-4	0.247547168609133	-0.00218809140403561	0.998254157044203	0.999496089402282
TMEM123	-0.02620543890156746	0.2049871128174926	ENSG00000152558	6519.80701263932	5.76069467321714e-4	0.320114944088675	0.00179957067909375	0.998564151114066	0.999622038099573
C10orf128	-0.11965362431689663	0.09004068689007243	ENSG00000204161	154.502671525154	5.78751217263392e-4	0.458219808059762	0.00126304277354136	0.998992237939301	0.999731374212113
PCSK5	-0.20794347497675275	0.9284581648411203	ENSG00000099139	751.081096283674	-6.26673517238028e-4	0.313555604571989	-0.001998604101156	0.99840534570615	0.999561060421763
PITPNA	0.03240826225690692	0.10047010590062572	ENSG00000174238	3063.49674901403	6.41527676915651e-4	0.349705793122697	0.00183447826582205	0.99853629893554	0.999622038099573
IFI6	0.06137978175720362	0.1335092415623438	ENSG00000126709	2449.19465784832	-7.37251951224184e-4	0.575321898730261	-0.00128145991461702	0.998977543198675	0.999731374212113
NUDT9	0.03498537082222761	0.24759011908045905	ENSG00000170502	1083.69511500706	0.00102568853092018	0.416151832073663	0.00246469786233844	0.998033457619634	0.999377822302316
