ENSID	symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HOX
ENSG00000253552	HOXA-AS2	209.021066848543	-7.99287244217432	0.97489221689511	-8.19872423192633	2.42951543316795e-16	2.70615625715801e-12	FALSE
ENSG00000233429	HOTAIRM1	205.633404798579	-5.7104880750022	0.810458316852457	-7.04599848784301	1.84136253589868e-12	7.69137131244879e-9	FALSE
ENSG00000196966	HIST1H3E	572.852066779822	3.86571499539404	0.55144677236015	7.010132598744	2.38092368145222e-12	8.84010508215639e-9	FALSE
ENSG00000157766	ACAN	16248.301461143	-4.94115602067383	0.732353520791084	-6.74695468840844	1.50980398867671e-11	4.58651000778372e-8	FALSE
ENSG00000117266	CDK18	2148.74014014667	-2.97533419809236	0.449135705611488	-6.62457729572294	3.48243256356031e-11	8.9514589649178e-8	FALSE
ENSG00000147869	CER1	216.215897290491	5.14822394720213	0.794861806563482	6.47687925711268	9.36390638715462e-11	2.08602863888773e-7	FALSE
ENSG00000224189	HOXD-AS1	486.873187923041	-4.84646541901003	0.750431557696624	-6.45823775573322	1.05929229781231e-10	2.21233196398101e-7	FALSE
ENSG00000166923	GREM1	562.020353646755	-5.30933824668015	0.838833864436943	-6.32942763969595	2.46072255809728e-10	4.83691205890464e-7	FALSE
ENSG00000148604	RGR	777.110467069011	-4.26713372052704	0.679507343772505	-6.27974628918161	3.39125978597824e-10	6.29568538934715e-7	FALSE
ENSG00000013293	SLC7A14	1690.08184760806	-3.83356222032023	0.622952296653066	-6.15386160532163	7.56186780287446e-10	1.20327321190882e-6	FALSE
ENSG00000249825	CTD-2201I18.1	664.204954907904	-1.57254828810423	0.256299909121742	-6.13557879709306	8.48496954737601e-10	1.28878973815962e-6	FALSE
ENSG00000134545	KLRC1	189.262281621295	3.86730022333114	0.633914098664133	6.10066920972546	1.05625298370117e-9	1.53459781318949e-6	FALSE
ENSG00000144908	ALDH1L1	4377.37520482108	-2.53993953541913	0.41798845699994	-6.07657817550568	1.22774163832441e-9	1.64104858344994e-6	FALSE
ENSG00000183087	GAS6	1072.08633501536	-1.91675722929576	0.315816814054794	-6.0692057673763	1.28544363005296e-9	1.65209170545576e-6	FALSE
ENSG00000147257	GPC3	2417.26702449038	-5.05680894783728	0.83514312390276	-6.05502075405469	1.40399561988963e-9	1.73762657904562e-6	FALSE
ENSG00000254144	7SK	467.942424564041	3.85305606442353	0.64689276016624	5.95625164120459	2.58088836550057e-9	3.08010591505597e-6	FALSE
ENSG00000173376	NDNF	1092.25795147752	-3.44651207309717	0.587286434370039	-5.86853683551216	4.39657729617614e-9	4.73922667512974e-6	FALSE
ENSG00000254859	RP11-661A12.5	476.969524015903	3.70506591317392	0.63824786953642	5.80505801901858	6.43437194012851e-9	6.7190928984792e-6	FALSE
ENSG00000200243	RN7SKP79	300.735508222771	4.63899899783006	0.804440819572205	5.76673744663659	8.0820811866254e-9	8.1839643918871e-6	FALSE
ENSG00000164619	BMPER	2780.79033520641	-3.21090016814545	0.558497844989403	-5.7491719922507	8.96815538836871e-9	8.81411413110967e-6	FALSE
ENSG00000250218	ALDH1L1-AS1	192.432761874366	-2.67011120876638	0.469357528216154	-5.68886413501118	1.27887165375323e-8	1.22099357662337e-5	FALSE
ENSG00000141574	SECTM1	205.84766739002	-3.2721921398246	0.57802490163447	-5.66098818679245	1.50503788639742e-8	1.39700961144045e-5	FALSE
ENSG00000163531	NFASC	19906.3905558939	-2.25995252003197	0.408864104013831	-5.52739283748793	3.25024634167534e-8	2.85816399351114e-5	FALSE
ENSG00000144649	FAM198A	2253.62487790349	-1.77057398734751	0.323317665814582	-5.47626738207031	4.34391160235526e-8	3.72195256677701e-5	FALSE
ENSG00000168306	ACOX2	178.899652506147	-2.02245563246273	0.374591921979774	-5.39909035350724	6.69796367409242e-8	5.59547885333681e-5	FALSE
ENSG00000236494	RP11-89N17.4	1406.23429444792	-4.05743849809818	0.756352888410306	-5.36447808988482	8.11836130275238e-8	6.61666247055545e-5	FALSE
ENSG00000250742	RP11-834C11.4	320.353139149191	-2.61814431077027	0.50080191368017	-5.22790396612245	1.71442514658186e-7	1.30202797041317e-4	FALSE
ENSG00000254369	HOXA-AS3	124.128458280123	-8.85753401045985	1.69610574755694	-5.22227698551118	1.76736342897733e-7	1.3124048076157e-4	FALSE
ENSG00000233695	GAS6-AS1	194.515047842776	-1.94647971693775	0.373424936663653	-5.21250598400976	1.86306556516999e-7	1.35339562882001e-4	FALSE
ENSG00000113739	STC2	688.549956084032	-2.67769078870021	0.525606285177469	-5.09448015408737	3.49699462532462e-7	2.38480759999689e-4	FALSE
ENSG00000113296	THBS4	6226.35158111765	-1.74283838588478	0.342687791041456	-5.08579071518174	3.66097580486708e-7	2.44670334990877e-4	FALSE
ENSG00000139800	ZIC5	106.939412940359	2.85865593563724	0.581921420715707	4.91244321633903	8.99484378498846e-7	5.36735178427097e-4	FALSE
ENSG00000106003	LFNG	2385.25111778203	1.78536889693679	0.366040005220838	4.87752396315165	1.07425800829304e-6	6.29779045703864e-4	FALSE
ENSG00000056998	GYG2	1395.74172749275	-2.65304551000724	0.548155396750204	-4.83995145489052	1.29870848497875e-6	7.48235219552582e-4	FALSE
ENSG00000013297	CLDN11	3151.87270916642	-3.08147803968336	0.642103486172491	-4.79903645758367	1.59430774249087e-6	9.02616649888457e-4	FALSE
ENSG00000131080	EDA2R	165.964208332373	-2.77197196080232	0.58655499492591	-4.7258517697091	2.29152767764159e-6	0.00121545537898526	FALSE
ENSG00000197921	HES5	893.669567294997	3.71035281904869	0.788702387836486	4.70437629741007	2.54643204852686e-6	0.00130910112820882	FALSE
ENSG00000158352	SHROOM4	2667.09220203511	-2.05922470783959	0.442500041901219	-4.65361471829935	3.26166001948403e-6	0.001651388351683	FALSE
ENSG00000182326	C1S	2624.27372016897	-2.36516698895036	0.50938678278046	-4.64316521139442	3.43111768236625e-6	0.00168609159520515	FALSE
ENSG00000254453	NAV2-AS2	723.159691902567	-1.59910443384462	0.344880002844587	-4.63669804179752	3.54018996192943e-6	0.0017144780835918	FALSE
ENSG00000132470	ITGB4	5816.45641501194	-2.12932401128797	0.46331133285014803	-4.59588156022221	4.30923438365917e-6	0.0019459104887075	FALSE
ENSG00000187091	PLCD1	1291.3741677519	-1.54726289264065	0.337252602504247	-4.58784567161691	4.47843500138833e-6	0.00196909715797885	FALSE
ENSG00000157445	CACNA2D3	479.587728575719	-3.04699293127114	0.665659103932966	-4.57740743462885	4.70773991932246e-6	0.00204303684602701	FALSE
ENSG00000108381	ASPA	230.807308183301	-2.00462492731431	0.438857897586564	-4.56782238245786	4.92817355647164e-6	0.0020584980945382	FALSE
ENSG00000174332	GLIS1	154.103333343898	-2.29889376421615	0.504259508483778	-4.55894975808889	5.14100673107686e-6	0.00209502293811786	FALSE
ENSG00000147234	FRMPD3	1478.74405420026	-1.88235235186514	0.412831248449556	-4.55961693533272	5.12470147166601e-6	0.00209502293811786	FALSE
ENSG00000204950	LRRC10B	169.465040212506	2.90302759591688	0.641167235661584	4.52772293163329	5.96226863187337e-6	0.00237184724527001	FALSE
ENSG00000139832	RAB20	466.985989685397	-2.01060603809931	0.445374443479767	-4.51441717757803	6.34911280689921e-6	0.0024386431443143	FALSE
ENSG00000177614	PGBD5	1064.81405607544	-1.71847851591624	0.382032488933329	-4.49825228402536	6.8514365785986e-6	0.00258656982000655	FALSE
ENSG00000104415	WISP1	219.369883178975	-2.14221704119018	0.476356514881519	-4.49708773632078	6.88905655915081e-6	0.00258656982000655	FALSE
ENSG00000231584	FAHD2CP	507.93120068238	-1.79208786712042	0.399506660526804	-4.48575216432514	7.265715839719e-6	0.00266803473076978	FALSE
ENSG00000131459	GFPT2	2757.48166173683	-2.75921158980132	0.620123749818306	-4.44945317867564	8.60891944323695e-6	0.00307926126149537	FALSE
ENSG00000117643	MAN1C1	2458.55491803297	-1.77113499557288	0.399132990379863	-4.43745578105998	9.10284140002266e-6	0.00320190050761218	FALSE
ENSG00000165912	PACSIN3	506.579307940477	-1.66611929170035	0.375723503907973	-4.43442923950916	9.23165339291591e-6	0.00321338468518415	FALSE
ENSG00000261069	SNORD116-20	2862.28388599043	-3.19693136941612	0.724562599928991	-4.41222244941904	1.02314911147319e-5	0.00352469594938021	FALSE
ENSG00000204049	AL391421.1	193.972262948687	-1.36068666056899	0.308999420714374	-4.40352495620614	1.06506025543412e-5	0.00359495489854411	FALSE
ENSG00000130775	THEMIS2	868.4749484602	-1.70970562582582	0.39124381670789	-4.36992369671702	1.24289959210435e-5	0.00411215175938208	FALSE
